         4161579 function calls (4142587 primitive calls) in 1.701 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11200    0.005    0.000    0.007    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:139(sort_key)
     1318    0.007    0.000    0.007    0.000 {method 'update' of 'dict' objects}
       56    0.001    0.000    0.007    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:260(transform)
     2081    0.002    0.000    0.007    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/re.py:188(match)
10316/9735    0.005    0.000    0.006    0.000 {built-in method builtins.getattr}
        2    0.003    0.002    0.006    0.003 /usr/local/lib/python3.9/site-packages/lark/parsers/grammar_analysis.py:62(calculate_sets)
       45    0.000    0.000    0.006    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/re.py:250(compile)
       45    0.000    0.000    0.006    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_compile.py:759(compile)
      403    0.006    0.000    0.006    0.000 {method 'intersection' of 'set' objects}
        1    0.000    0.000    0.006    0.006 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:137(__init__)
      403    0.000    0.000    0.006    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:135(is_cyclical)
      403    0.006    0.000    0.006    0.000 {method 'symmetric_difference' of 'set' objects}
       89    0.000    0.000    0.006    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:937(parse)
      339    0.000    0.000    0.006    0.000 /usr/local/lib/python3.9/site-packages/lark/lexer.py:428(lex)
      806    0.002    0.000    0.006    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:70(post_order)
      339    0.001    0.000    0.006    0.000 /usr/local/lib/python3.9/site-packages/lark/lexer.py:433(next_token)
     1200    0.001    0.000    0.006    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:441(visit_intermediate_node_out)
   172/89    0.000    0.000    0.005    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.005    0.005 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:667(compile)
  335/198    0.001    0.000    0.005    0.000 /usr/local/lib/python3.9/site-packages/lark/utils.py:265(bfs)
  238/122    0.002    0.000    0.005    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_parse.py:493(_parse)
     2095    0.005    0.000    0.005    0.000 {built-in method fromkeys}
1982/1918    0.001    0.000    0.005    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:132(_transform_children)
        1    0.000    0.000    0.005    0.005 /usr/local/lib/python3.9/site-packages/lark/lark.py:452(_build_parser)
    48400    0.005    0.000    0.005    0.000 {method 'pop' of 'collections.deque' objects}
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:146(compute_lr0_states)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.9/site-packages/lark/parser_frontends.py:237(__call__)
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.9/site-packages/lark/parser_frontends.py:195(create_earley_parser)
